Date/Time,Ozone(ppb),PM10(ug/m3),PM2.5(ug/m3),Wind Speed(mph),Wind Direction(degrees),Temperature (F)
12/09/2017 01 PM,4,127,54,0,60 (NE),70
12/09/2017 12 PM,12,84,48,1,245 (SW),71
12/09/2017 11 AM,6,103,44,0,304 (NW),67
12/09/2017 10 AM,2,90,38,0,255 (W),56
12/09/2017 09 AM,0,87,41,1,156 (SE),48
12/09/2017 08 AM,2,75,54,1,215 (SW),45
12/09/2017 07 AM,3,68,62,2,204 (SW),44
12/09/2017 06 AM,6,68,59,1,208 (SW),44
12/09/2017 05 AM,8,55,46,2,218 (SW),45
12/09/2017 04 AM,9,58,44,2,210 (SW),45
12/09/2017 03 AM,8,66,60,1,183 (S),46
12/09/2017 02 AM,NA,76,65,1,210 (SW),48
12/09/2017 01 AM,11,61,58,2,211 (SW),47
12/09/2017 12 AM,10,56,48,2,211 (SW),46
12/08/2017 11 PM,6,66,48,2,210 (SW),46
12/08/2017 10 PM,9,64,47,2,196 (S),47
12/08/2017 09 PM,4,76,57,1,200 (S),49
12/08/2017 08 PM,4,84,59,1,219 (SW),49
12/08/2017 07 PM,4,92,51,1,218 (SW),51
12/08/2017 06 PM,3,111,59,1,211 (SW),54
12/08/2017 05 PM,4,130,61,1,211 (SW),60
12/08/2017 04 PM,24,76,48,1,43 (NE),65
12/08/2017 03 PM,27,103,68,1,53 (NE),67
12/08/2017 02 PM,32,90,59,3,22 (N),70
12/08/2017 01 PM,36,132,85,4,15 (N),73
12/08/2017 12 PM,37,131,86,2,2 (N),73
12/08/2017 11 AM,15,170,105,2,353 (N),69
12/08/2017 10 AM,5,161,98,1,325 (NW),59
12/08/2017 09 AM,2,136,88,1,210 (SW),47
12/08/2017 08 AM,2,107,92,1,209 (SW),43
12/08/2017 07 AM,7,110,93,2,201 (S),43
12/08/2017 06 AM,8,106,92,2,206 (SW),42
12/08/2017 05 AM,10,102,95,1,201 (S),43
12/08/2017 04 AM,10,118,98,1,213 (SW),44
12/08/2017 03 AM,11,127,108,1,193 (S),45
12/08/2017 02 AM,NA,131,110,1,209 (SW),47
12/08/2017 01 AM,15,115,98,2,205 (SW),45
12/08/2017 12 AM,13,98,86,2,205 (SW),47
12/07/2017 11 PM,12,94,82,1,204 (SW),48
12/07/2017 10 PM,11,106,87,1,196 (S),48
12/07/2017 09 PM,8,126,89,2,203 (SW),49
12/07/2017 08 PM,7,160,106,1,193 (S),50
12/07/2017 07 PM,6,167,108,2,202 (S),53
12/07/2017 06 PM,4,171,81,2,236 (SW),57
12/07/2017 05 PM,23,144,58,1,211 (SW),63
12/07/2017 04 PM,42,150,59,2,104 (E),68
12/07/2017 03 PM,44,NA,83,3,80 (E),70
12/07/2017 02 PM,41,354,134,3,65 (NE),72
