Date/Time,Ozone(ppb),PM10(ug/m3),PM2.5(ug/m3),Wind Speed(mph),Wind Direction(degrees),Temperature (F)
12/09/2017 09 PM,3,219,110,0,318 (NW),53
12/09/2017 08 PM,5,257,120,1,327 (NW),55
12/09/2017 07 PM,4,260,102,0,291 (W),57
12/09/2017 06 PM,3,213,88,1,304 (NW),60
12/09/2017 05 PM,4,193,81,0,20 (N),64
12/09/2017 04 PM,9,187,78,0,12 (N),68
12/09/2017 03 PM,26,162,76,4,265 (W),72
12/09/2017 02 PM,28,182,55,5,280 (W),73
12/09/2017 01 PM,9,197,81,1,277 (W),71
12/09/2017 12 PM,7,169,89,0,296 (NW),69
12/09/2017 11 AM,3,208,99,0,258 (W),66
12/09/2017 10 AM,3,197,106,0,355 (N),60
12/09/2017 09 AM,3,185,114,0,299 (NW),53
12/09/2017 08 AM,3,155,109,0,325 (NW),50
12/09/2017 07 AM,4,107,90,1,293 (NW),49
12/09/2017 06 AM,7,118,100,1,313 (NW),49
12/09/2017 05 AM,NA,140,138,1,291 (W),49
12/09/2017 04 AM,NA,126,127,1,304 (NW),49
12/09/2017 03 AM,7,112,103,1,307 (NW),50
12/09/2017 02 AM,6,99,85,1,337 (NW),50
12/09/2017 01 AM,5,78,63,1,334 (NW),49
12/09/2017 12 AM,5,79,66,1,321 (NW),49
12/08/2017 11 PM,4,85,64,1,337 (NW),50
12/08/2017 10 PM,4,93,66,1,317 (NW),51
12/08/2017 09 PM,4,92,63,0,335 (NW),52
12/08/2017 08 PM,3,111,72,1,332 (NW),54
12/08/2017 07 PM,4,117,72,1,303 (NW),55
12/08/2017 06 PM,4,122,67,1,334 (NW),58
12/08/2017 05 PM,7,131,73,1,326 (NW),62
12/08/2017 04 PM,22,119,70,3,274 (W),66
12/08/2017 03 PM,27,139,70,3,273 (W),68
12/08/2017 02 PM,17,196,133,1,154 (SE),66
12/08/2017 01 PM,26,194,141,3,119 (SE),65
12/08/2017 12 PM,27,217,144,2,149 (SE),67
12/08/2017 11 AM,18,201,140,2,151 (SE),64
12/08/2017 10 AM,5,205,132,0,2 (N),60
12/08/2017 09 AM,4,194,127,0,335 (NW),51
12/08/2017 08 AM,4,180,131,1,304 (NW),47
12/08/2017 07 AM,4,156,142,1,320 (NW),47
12/08/2017 06 AM,7,146,138,1,283 (W),47
12/08/2017 05 AM,NA,130,120,1,331 (NW),48
12/08/2017 04 AM,NA,137,122,1,336 (NW),49
12/08/2017 03 AM,11,128,116,0,284 (W),49
12/08/2017 02 AM,10,136,113,0,330 (NW),51
12/08/2017 01 AM,6,158,142,1,315 (NW),49
12/08/2017 12 AM,7,204,177,0,309 (NW),50
12/07/2017 11 PM,6,245,214,1,324 (NW),51
12/07/2017 10 PM,9,260,215,1,317 (NW),52
12/07/2017 09 PM,7,255,212,1,293 (NW),53
12/07/2017 08 PM,7,292,228,1,308 (NW),54
12/07/2017 07 PM,8,291,217,0,324 (NW),56
12/07/2017 06 PM,6,260,139,1,340 (N),60
12/07/2017 05 PM,18,269,121,1,112 (E),66
12/07/2017 04 PM,42,226,81,4,281 (W),69
12/07/2017 03 PM,42,394,152,6,271 (W),70
12/07/2017 02 PM,58,592,352,5,277 (W),72
12/07/2017 01 PM,NA,525,343,3,266 (W),72
12/07/2017 12 PM,25,432,282,1,225 (SW),69
12/07/2017 11 AM,11,406,270,1,255 (W),65
12/07/2017 10 AM,8,438,322,0,164 (S),58
12/07/2017 09 AM,7,498,315,0,345 (N),50
12/07/2017 08 AM,9,473,299,1,298 (NW),47
12/07/2017 07 AM,7,373,220,1,317 (NW),48
12/07/2017 06 AM,5,264,179,1,299 (NW),50
12/07/2017 05 AM,NA,223,177,1,308 (NW),51
12/07/2017 04 AM,NA,233,189,1,319 (NW),51
12/07/2017 03 AM,7,258,219,0,309 (NW),52
12/07/2017 02 AM,10,317,280,1,327 (NW),54
12/07/2017 01 AM,9,381,357,1,326 (NW),54
12/07/2017 12 AM,10,419,424,1,337 (NW),53
12/06/2017 11 PM,10,411,404,1,303 (NW),52
12/06/2017 10 PM,8,362,339,0,343 (N),52
12/06/2017 09 PM,9,365,338,1,304 (NW),53
12/06/2017 08 PM,8,300,273,1,335 (NW),54
12/06/2017 07 PM,6,179,133,0,315 (NW),56
12/06/2017 06 PM,10,171,114,1,312 (NW),58
12/06/2017 05 PM,NA,143,105,0,285 (W),63
12/06/2017 04 PM,55,143,115,2,246 (SW),66
12/06/2017 03 PM,66,136,109,3,258 (W),67
12/06/2017 02 PM,64,135,114,3,247 (SW),68
12/06/2017 01 PM,46,114,74,2,135 (SE),65
12/06/2017 12 PM,40,96,65,3,112 (E),63
12/06/2017 11 AM,NA,179,142,2,178 (S),65
12/06/2017 10 AM,14,88,54,4,245 (SW),62
12/06/2017 09 AM,4,85,39,0,288 (W),51
12/06/2017 08 AM,3,74,36,0,336 (NW),43
12/06/2017 07 AM,3,51,40,1,310 (NW),41
12/06/2017 06 AM,6,52,50,1,319 (NW),41
12/06/2017 05 AM,NA,68,58,1,311 (NW),42
12/06/2017 04 AM,NA,71,67,1,345 (N),42
12/06/2017 03 AM,6,77,72,1,309 (NW),43
12/06/2017 02 AM,5,91,86,1,322 (NW),44
12/06/2017 01 AM,6,106,96,1,303 (NW),46
12/06/2017 12 AM,6,115,97,1,313 (NW),47
12/05/2017 11 PM,4,123,101,1,303 (NW),47
12/05/2017 10 PM,5,118,93,1,321 (NW),48
12/05/2017 09 PM,4,101,72,1,338 (N),50
12/05/2017 08 PM,7,108,74,0,331 (NW),51
12/05/2017 07 PM,12,113,72,1,339 (N),54
12/05/2017 06 PM,21,130,78,0,324 (NW),57
12/05/2017 05 PM,41,135,75,2,286 (W),61
12/05/2017 04 PM,50,124,65,5,252 (W),63
12/05/2017 03 PM,55,126,67,6,255 (W),65
12/05/2017 02 PM,59,136,72,7,248 (W),65
12/05/2017 01 PM,55,103,59,6,254 (W),66
12/05/2017 12 PM,59,153,95,6,259 (W),65
12/05/2017 11 AM,51,NA,NA,7,272 (W),64
12/05/2017 10 AM,37,NA,NA,6,277 (W),62
12/05/2017 09 AM,15,74,17,2,269 (W),55
12/05/2017 08 AM,3,NA,NA,0,26 (NE),43
12/05/2017 07 AM,4,15,2,1,281 (W),41
12/05/2017 06 AM,9,8,-1,1,342 (N),42
12/05/2017 05 AM,13,8,2,1,297 (NW),42
12/05/2017 04 AM,9,9,3,1,323 (NW),43
12/05/2017 03 AM,7,10,0,0,313 (NW),43
12/05/2017 02 AM,NA,NA,NA,NA,NA,NA
12/05/2017 01 AM,NA,NA,NA,NA,NA,NA
12/05/2017 12 AM,NA,NA,NA,NA,NA,NA
12/04/2017 11 PM,NA,NA,NA,1,337 (NW),46
12/04/2017 10 PM,5,NA,24,1,331 (NW),48
12/04/2017 09 PM,5,39,24,1,305 (NW),51
12/04/2017 08 PM,4,49,22,1,347 (N),53
12/04/2017 07 PM,9,45,16,0,308 (NW),55
12/04/2017 06 PM,22,45,6,1,262 (W),58
12/04/2017 05 PM,41,30,4,4,268 (W),61
12/04/2017 04 PM,46,30,6,5,259 (W),63
12/04/2017 03 PM,48,31,6,5,246 (SW),64
12/04/2017 02 PM,47,30,6,5,242 (SW),64
12/04/2017 01 PM,45,29,7,6,236 (SW),64
12/04/2017 12 PM,42,30,4,4,228 (SW),63
12/04/2017 11 AM,41,24,6,4,231 (SW),63
12/04/2017 10 AM,37,24,6,4,263 (W),62
12/04/2017 09 AM,14,48,9,2,277 (W),57
12/04/2017 08 AM,3,57,7,0,309 (NW),48
12/04/2017 07 AM,3,18,11,1,325 (NW),46
12/04/2017 06 AM,9,7,7,0,358 (N),46
12/04/2017 05 AM,NA,11,10,1,90 (E),47
12/04/2017 04 AM,NA,22,11,0,354 (N),46
12/04/2017 03 AM,7,20,13,0,347 (N),47
12/04/2017 02 AM,4,21,12,0,350 (N),47
12/04/2017 01 AM,4,24,18,0,341 (N),48
12/04/2017 12 AM,5,27,21,0,354 (N),49
12/03/2017 11 PM,10,21,14,1,321 (NW),50
12/03/2017 10 PM,16,27,19,1,331 (NW),52
12/03/2017 09 PM,12,36,19,1,313 (NW),54
12/03/2017 08 PM,14,38,22,0,359 (N),56
12/03/2017 07 PM,15,38,12,0,47 (NE),58
12/03/2017 06 PM,28,37,13,0,286 (W),60
12/03/2017 05 PM,42,37,14,2,162 (S),63
12/03/2017 04 PM,49,30,9,2,155 (SE),64
12/03/2017 03 PM,50,27,11,4,142 (SE),64
12/03/2017 02 PM,48,28,11,4,147 (SE),63
12/03/2017 01 PM,45,28,9,5,151 (SE),63
12/03/2017 12 PM,42,31,11,5,144 (SE),62
12/03/2017 11 AM,40,30,11,4,148 (SE),62
12/03/2017 10 AM,26,37,14,2,141 (SE),62
12/03/2017 09 AM,8,20,12,0,181 (S),57
12/03/2017 08 AM,5,16,7,0,281 (W),53
12/03/2017 07 AM,4,16,8,0,331 (NW),51
12/03/2017 06 AM,9,13,11,0,330 (NW),52
12/03/2017 05 AM,NA,20,7,0,283 (W),53
12/03/2017 04 AM,NA,17,10,0,340 (N),55
12/03/2017 03 AM,6,21,13,1,314 (NW),52
12/03/2017 02 AM,5,24,15,0,286 (W),52
12/03/2017 01 AM,6,30,20,0,302 (NW),52
12/03/2017 12 AM,6,37,24,0,320 (NW),53
12/09/2017 11 PM,4,187,101,1,294 (NW),53
12/09/2017 10 PM,4,193,100,1,329 (NW),53
12/10/2017 11 AM,24,NA,NA,4,276 (W),69
12/10/2017 10 AM,10,NA,NA,2,268 (W),66
12/10/2017 09 AM,NA,NA,NA,0,343 (N),58
12/10/2017 08 AM,3,673,140,0,310 (NW),54
12/10/2017 07 AM,3,594,159,1,302 (NW),55
12/10/2017 06 AM,3,NA,NA,0,290 (W),57
12/10/2017 05 AM,NA,NA,79,0,306 (NW),57
