Date/Time,Ozone(ppb),PM10(ug/m3),PM2.5(ug/m3),Wind Speed(mph),Wind Direction(degrees),Temperature (F)
12/10/2017 12 AM,NA,NA,NA,NA,NA,NA
12/09/2017 11 PM,25,38,20,5,103 (E),54
12/09/2017 10 PM,29,29,20,6,98 (E),54
12/09/2017 09 PM,27,41,21,5,86 (E),54
12/09/2017 08 PM,19,47,24,4,83 (E),54
12/09/2017 07 PM,6,59,24,3,86 (E),60
12/09/2017 06 PM,7,45,15,1,176 (S),65
12/09/2017 05 PM,28,35,12,3,290 (W),69
12/09/2017 04 PM,34,44,17,3,311 (NW),72
12/09/2017 03 PM,37,43,14,5,311 (NW),75
12/09/2017 02 PM,34,48,4,6,283 (W),77
12/09/2017 01 PM,31,20,2,4,304 (NW),76
12/09/2017 12 PM,26,15,0,1,341 (N),75
12/09/2017 11 AM,24,29,-1,2,88 (E),68
12/09/2017 10 AM,22,32,-2,4,108 (E),61
12/09/2017 09 AM,18,27,0,5,105 (E),55
12/09/2017 08 AM,18,18,2,5,104 (E),51
12/09/2017 07 AM,21,9,3,5,96 (E),51
12/09/2017 06 AM,21,8,6,5,93 (E),51
12/09/2017 05 AM,NA,13,7,5,94 (E),49
12/09/2017 04 AM,23,11,8,4,101 (E),52
12/09/2017 03 AM,19,21,15,4,96 (E),50
12/09/2017 02 AM,18,37,21,4,98 (E),49
12/09/2017 01 AM,19,39,26,3,88 (E),48
12/09/2017 12 AM,23,44,29,3,94 (E),50
12/08/2017 11 PM,23,52,32,4,95 (E),51
12/08/2017 10 PM,19,60,30,3,92 (E),50
12/08/2017 09 PM,13,65,38,4,86 (E),50
12/08/2017 08 PM,7,78,38,3,86 (E),52
12/08/2017 07 PM,3,70,22,2,77 (E),56
12/08/2017 06 PM,7,42,9,1,242 (SW),60
12/08/2017 05 PM,23,53,13,3,284 (W),62
12/08/2017 04 PM,36,63,34,4,302 (NW),66
12/08/2017 03 PM,39,71,28,4,297 (NW),68
12/08/2017 02 PM,36,86,24,6,289 (W),70
12/08/2017 01 PM,49,85,50,3,259 (W),73
12/08/2017 12 PM,36,51,26,1,139 (SE),70
12/08/2017 11 AM,25,37,0,3,114 (SE),65
12/08/2017 10 AM,22,37,1,5,120 (SE),58
12/08/2017 09 AM,19,45,1,6,106 (E),52
12/08/2017 08 AM,13,39,15,5,98 (E),47
12/08/2017 07 AM,17,17,10,5,94 (E),47
12/08/2017 06 AM,21,22,12,5,101 (E),47
12/08/2017 05 AM,NA,17,8,4,104 (E),46
12/08/2017 04 AM,24,14,12,5,96 (E),47
12/08/2017 03 AM,25,18,12,6,92 (E),48
12/08/2017 02 AM,26,26,15,5,100 (E),49
12/08/2017 01 AM,25,35,20,5,98 (E),49
12/08/2017 12 AM,27,40,25,6,88 (E),49
12/07/2017 11 PM,26,57,34,5,89 (E),49
12/07/2017 10 PM,25,80,44,5,88 (E),50
12/07/2017 09 PM,17,87,51,4,92 (E),50
12/07/2017 08 PM,6,85,35,2,106 (E),54
12/07/2017 07 PM,3,82,27,2,99 (E),58
12/07/2017 06 PM,21,81,30,1,245 (SW),61
12/07/2017 05 PM,36,83,28,4,325 (NW),64
12/07/2017 04 PM,47,132,58,10,328 (NW),68
12/07/2017 03 PM,41,43,11,5,359 (N),76
12/07/2017 02 PM,40,12,NA,6,55 (NE),80
12/07/2017 01 PM,36,28,-2,2,92 (E),78
12/07/2017 12 PM,34,16,-1,2,209 (SW),75
12/07/2017 11 AM,32,18,1,5,40 (NE),69
12/07/2017 10 AM,21,46,4,2,94 (E),61
12/07/2017 09 AM,21,37,5,4,95 (E),54
12/07/2017 08 AM,15,31,5,4,98 (E),48
12/07/2017 07 AM,22,13,4,6,94 (E),48
12/07/2017 06 AM,23,14,6,6,97 (E),48
12/07/2017 05 AM,NA,15,7,6,100 (E),48
12/07/2017 04 AM,24,14,5,5,93 (E),49
12/07/2017 03 AM,25,10,1,6,96 (E),50
12/07/2017 02 AM,25,9,0,6,92 (E),49
12/07/2017 01 AM,22,11,2,5,93 (E),49
12/07/2017 12 AM,15,15,3,4,90 (E),47
12/06/2017 11 PM,16,18,2,4,105 (E),48
12/06/2017 10 PM,14,17,3,4,95 (E),49
12/06/2017 09 PM,18,24,4,4,101 (E),52
12/06/2017 08 PM,17,36,7,5,90 (E),52
12/06/2017 07 PM,3,60,8,2,107 (E),55
12/06/2017 06 PM,15,47,6,1,249 (W),59
12/06/2017 05 PM,28,37,4,3,266 (W),61
12/06/2017 04 PM,34,33,3,6,279 (W),64
12/06/2017 03 PM,35,34,0,5,279 (W),65
12/06/2017 02 PM,36,26,4,5,283 (W),65
12/06/2017 01 PM,31,31,7,6,284 (W),65
12/06/2017 12 PM,34,33,4,3,287 (W),66
12/06/2017 11 AM,29,17,0,1,92 (E),62
12/06/2017 10 AM,23,34,2,4,100 (E),55
12/06/2017 09 AM,19,35,1,5,101 (E),49
12/06/2017 08 AM,18,23,2,5,99 (E),44
12/06/2017 07 AM,17,10,2,5,94 (E),42
12/06/2017 06 AM,19,7,2,5,98 (E),42
12/06/2017 05 AM,NA,8,2,5,97 (E),44
12/06/2017 04 AM,24,11,2,5,94 (E),43
12/06/2017 03 AM,25,10,2,5,88 (E),44
12/06/2017 02 AM,23,11,2,5,95 (E),44
12/06/2017 01 AM,23,10,2,5,95 (E),46
12/06/2017 12 AM,23,12,2,4,101 (E),47
12/05/2017 11 PM,25,13,2,5,89 (E),49
12/05/2017 10 PM,22,16,1,4,88 (E),49
12/05/2017 09 PM,25,23,3,5,82 (E),51
12/05/2017 08 PM,24,28,5,5,81 (E),53
12/05/2017 07 PM,21,31,7,4,77 (E),59
12/05/2017 06 PM,16,50,7,2,351 (N),64
12/05/2017 05 PM,34,18,3,5,11 (N),68
12/05/2017 04 PM,37,15,2,7,8 (N),70
12/05/2017 03 PM,NA,21,1,9,29 (NE),70
12/05/2017 02 PM,38,15,-2,8,20 (N),69
12/05/2017 01 PM,NA,12,1,9,32 (NE),66
12/05/2017 12 PM,NA,20,3,11,34 (NE),63
12/05/2017 11 AM,NA,24,2,11,36 (NE),60
12/05/2017 10 AM,NA,NA,NA,13,42 (NE),56
12/05/2017 09 AM,NA,34,7,14,42 (NE),53
12/05/2017 08 AM,29,29,8,13,37 (NE),51
12/05/2017 07 AM,31,38,8,14,40 (NE),51
12/05/2017 06 AM,32,33,9,13,37 (NE),51
12/05/2017 05 AM,NA,27,8,12,32 (NE),51
12/05/2017 04 AM,33,24,7,12,39 (NE),52
12/05/2017 03 AM,32,23,9,7,39 (NE),52
12/05/2017 02 AM,31,21,7,8,31 (NE),52
12/05/2017 01 AM,32,25,7,7,35 (NE),52
12/05/2017 12 AM,33,30,5,11,39 (NE),53
12/04/2017 11 PM,34,33,7,14,46 (NE),54
12/04/2017 10 PM,34,29,5,9,49 (NE),55
12/04/2017 09 PM,33,44,4,5,52 (NE),56
12/04/2017 08 PM,32,26,4,9,55 (NE),56
12/04/2017 07 PM,32,41,3,12,55 (NE),56
12/04/2017 06 PM,32,42,3,11,50 (NE),58
12/04/2017 05 PM,32,24,4,9,39 (NE),61
12/04/2017 04 PM,34,19,4,9,36 (NE),63
12/04/2017 03 PM,36,17,2,8,39 (NE),64
